,lsoa,Names,Number of Burglary2012,Average time,Aged 65+Percentage,Working-age,Area (Hectares),Population Density Persons per hectare,% of households with no adults in employment: With dependent children,Median house income 2011/12,Average median house price(2010-2012)
4292,E01004401,Waltham Forest 014C,33,29.66,6.75,1559,110.2,20,6,30600.0,223833.0
4293,E01004402,Waltham Forest 009D,21,37.35,10.65,1184,19.0,97,10,48590.0,208333.0
4294,E01004403,Waltham Forest 009E,30,31.65,7.58,1241,38.2,49,9,35270.0,220500.0
4295,E01004404,Waltham Forest 014D,18,33.79,3.6,1659,15.5,157,8,30690.0,183833.0
4296,E01004405,Waltham Forest 020B,14,41.34,8.57,1128,12.2,135,5,30470.0,304250.0
4297,E01004406,Waltham Forest 016A,21,34.88,5.79,1423,13.6,144,6,47430.0,212500.0
4298,E01004407,Waltham Forest 013A,12,43.02,5.27,1076,9.1,185,12,38440.0,146667.0
4299,E01004408,Waltham Forest 016B,25,29.84,8.37,1211,11.8,148,6,33900.0,262500.0
4300,E01004409,Waltham Forest 016C,14,36.39,12.91,1176,15.6,108,4,29300.0,240000.0
4301,E01004410,Waltham Forest 013B,22,39.86,15.25,1254,19.8,98,8,32420.0,249992.0
4302,E01004411,Waltham Forest 016D,22,34.8,7.15,1368,12.4,144,5,32040.0,235833.0
4303,E01004412,Waltham Forest 015A,16,34.73,7.22,1262,15.2,113,5,29770.0,288617.0
4304,E01004413,Waltham Forest 004C,21,22.45,19.04,960,32.8,47,8,37870.0,226083.0
4305,E01004414,Waltham Forest 005B,34,23.43,16.75,1015,29.0,56,5,37570.0,252833.0
4306,E01004415,Waltham Forest 004D,21,20.28,15.21,990,26.0,59,7,31790.0,262167.0
4307,E01004416,Waltham Forest 004E,37,30.95,14.98,1066,47.2,35,4,32420.0,287167.0
4308,E01004417,Waltham Forest 005C,33,32.09,17.65,1078,27.6,60,5,38290.0,251750.0
4309,E01004418,Waltham Forest 008D,21,37.55,13.31,1065,18.1,92,7,31770.0,243999.0
4310,E01004419,Waltham Forest 008E,23,33.43,12.56,1088,26.0,62,5,29230.0,206416.0
4311,E01004420,Waltham Forest 020C,31,35.0,7.48,1569,17.0,127,6,30650.0,207083.0
4312,E01004421,Waltham Forest 018B,9,36.11,11.73,1415,12.6,179,7,41820.0,250000.0
4313,E01004422,Waltham Forest 022A,58,35.48,11.87,1073,133.8,12,7,44850.0,236667.0
4314,E01004423,Waltham Forest 020D,16,35.58,13.15,1342,12.7,158,7,52920.0,233333.0
4315,E01004424,Waltham Forest 022B,18,38.05,5.79,1260,21.6,85,10,51730.0,229000.0
4316,E01004425,Waltham Forest 022C,19,37.83,4.82,1447,13.3,157,10,41030.0,174667.0
4317,E01004426,Waltham Forest 022D,12,40.34,10.67,1163,12.4,145,8,48620.0,234333.0
4318,E01004427,Waltham Forest 022E,9,39.1,3.68,1479,41.2,52,8,32700.0,166333.0
4319,E01004428,Waltham Forest 026B,12,37.74,6.94,1194,16.1,116,14,35780.0,207333.0
4320,E01004429,Waltham Forest 026C,18,41.06,7.22,1294,53.2,34,8,29780.0,248000.0
4321,E01004430,Waltham Forest 026D,20,39.55,6.54,1718,51.6,43,5,35150.0,231167.0
4322,E01004432,Waltham Forest 023D,16,38.18,8.12,1176,18.7,95,7,32850.0,214500.0
4323,E01004434,Waltham Forest 026E,17,38.02,8.63,1384,32.2,64,10,30960.0,184167.0
4324,E01004435,Waltham Forest 023E,14,37.51,8.35,1400,15.6,134,6,33760.0,201667.0
4325,E01004436,Waltham Forest 021B,15,451.33,9.41,1296,23.2,76,4,36690.0,245000.0
4326,E01004437,Waltham Forest 021C,12,37.06,7.97,1486,15.2,130,6,52440.0,254283.0
4327,E01004438,Waltham Forest 024C,24,33.02,6.01,1678,25.9,82,3,51720.0,284950.0
4328,E01004439,Waltham Forest 021D,21,42.87,10.02,1175,15.0,113,5,55320.0,226833.0
4329,E01004440,Waltham Forest 024D,27,33.21,6.16,1662,23.7,93,3,45690.0,251498.0
4330,E01004441,Waltham Forest 024E,9,30.0,8.26,1232,13.1,125,4,34350.0,268000.0
4331,E01004442,Waltham Forest 021E,17,35.36,6.3,1399,15.1,119,3,39410.0,269333.0
4332,E01004443,Waltham Forest 016E,14,33.26,8.11,1298,12.9,142,7,54450.0,270000.0
4333,E01004444,Waltham Forest 017D,34,36.99,6.43,1776,19.8,131,9,31580.0,179667.0
4334,E01004445,Waltham Forest 018C,11,40.38,9.22,1231,17.0,101,5,30570.0,233000.0
4335,E01004446,Waltham Forest 017E,12,37.07,8.41,1332,12.4,156,5,35330.0,241667.0
4336,E01004447,Waltham Forest 016F,12,39.97,7.43,1393,12.8,151,5,33390.0,254667.0
4337,E01004448,Waltham Forest 018D,17,41.77,5.19,1315,52.2,36,11,38950.0,208667.0
4338,E01004449,Waltham Forest 018E,13,40.35,10.98,1125,18.3,97,12,30520.0,219667.0
4339,E01004450,Waltham Forest 006A,57,33.62,16.96,1040,29.7,56,3,30480.0,248333.0
4340,E01004451,Waltham Forest 005D,29,26.28,14.99,1163,19.7,88,4,40360.0,281750.0
4341,E01004452,Waltham Forest 005E,34,31.93,16.12,1065,23.0,72,5,45790.0,226833.0
4342,E01004453,Waltham Forest 006B,33,34.68,11.51,1123,34.2,48,7,37010.0,189333.0
4343,E01004454,Waltham Forest 006C,28,37.7,14.04,1101,18.9,91,6,34860.0,237583.0
4344,E01004455,Waltham Forest 006D,23,29.23,11.24,1026,47.8,33,8,36180.0,217865.0
4345,E01004456,Waltham Forest 006E,9,37.49,8.63,1042,24.7,64,13,34050.0,217833.0
4346,E01004457,Waltham Forest 012B,21,29.23,7.56,1344,12.2,157,6,31500.0,191333.0
4347,E01004458,Waltham Forest 012C,20,33.77,8.63,1304,13.0,146,6,34610.0,223333.0
4348,E01004459,Waltham Forest 012D,12,42.83,8.77,985,11.1,149,17,47130.0,246825.0
4349,E01004460,Waltham Forest 011D,25,26.17,9.71,1366,14.0,142,8,37420.0,229650.0
4350,E01004461,Waltham Forest 014E,28,31.05,8.28,1534,21.7,100,4,36940.0,241833.0
4351,E01004462,Waltham Forest 011E,29,34.19,7.95,1359,13.5,140,5,40820.0,265000.0
4352,E01004463,Waltham Forest 012E,15,29.46,5.68,1458,14.4,141,6,35230.0,196333.0
4353,E01004464,Waltham Forest 013C,23,41.57,5.91,1065,11.4,141,10,31350.0,270333.0
4354,E01004465,Waltham Forest 015B,13,41.33,8.54,1045,11.5,134,4,34380.0,321371.0
4355,E01004466,Waltham Forest 015C,9,39.95,8.91,1140,14.8,110,4,34410.0,315000.0
4356,E01004467,Waltham Forest 015D,21,36.74,7.11,1552,19.7,117,6,35010.0,146000.0
4357,E01004468,Waltham Forest 015E,32,43.33,13.33,1108,78.1,21,3,32190.0,276417.0
4358,E01004469,Waltham Forest 013D,17,46.63,8.43,1092,21.0,80,11,40000.0,175250.0
4359,E01004470,Waltham Forest 013E,10,40.77,9.24,1054,14.5,106,8,34370.0,242916.0
4360,E01004471,Waltham Forest 013F,16,43.24,10.8,1123,13.5,131,8,40320.0,203333.0
4361,E01004472,Wandsworth 021A,15,25.99,9.18,1360,13.1,138,2,37130.0,624167.0
4362,E01004473,Wandsworth 026A,25,27.27,8.98,1300,10.9,155,2,41180.0,512500.0
4363,E01004474,Wandsworth 021B,57,28.33,4.39,1538,14.8,122,2,46300.0,355067.0
4364,E01004475,Wandsworth 026B,18,27.61,6.66,1105,10.5,132,2,49750.0,410833.0
4365,E01004476,Wandsworth 021C,41,24.43,7.19,1431,19.2,90,2,45610.0,426000.0
4366,E01004477,Wandsworth 017A,16,26.88,9.9,1144,20.5,83,1,45210.0,1003500.0
4367,E01004478,Wandsworth 017B,14,22.29,8.89,994,9.4,163,2,46190.0,1125000.0
4368,E01004479,Wandsworth 017C,19,27.15,8.17,1086,14.4,108,2,39240.0,686167.0
4369,E01004480,Wandsworth 026C,20,24.85,6.8,1424,7.9,222,1,43110.0,436333.0
4370,E01004481,Wandsworth 029A,18,32.04,6.03,1355,10.3,162,3,39860.0,337333.0
4371,E01004482,Wandsworth 030A,17,29.98,9.47,1152,11.9,133,5,50760.0,426658.0
4372,E01004483,Wandsworth 026D,15,22.96,5.6,1661,45.4,46,3,46570.0,271158.0
4373,E01004484,Wandsworth 026E,21,28.32,7.98,1125,31.1,46,3,43180.0,367667.0
4374,E01004485,Wandsworth 030B,20,31.38,11.22,1144,15.3,102,3,46100.0,398733.0
4375,E01004486,Wandsworth 026F,9,26.96,10.66,1097,27.0,52,2,47740.0,341700.0
4376,E01004487,Wandsworth 030C,11,29.87,5.75,1132,10.6,138,3,51240.0,405000.0
4377,E01004488,Wandsworth 029B,11,32.09,7.48,1070,10.8,137,4,48310.0,609708.0
4378,E01004489,Wandsworth 030D,18,29.64,5.86,991,18.1,74,2,39870.0,452337.0
4379,E01004490,Wandsworth 031A,12,34.07,8.99,1049,12.7,116,1,44790.0,431167.0
4380,E01004491,Wandsworth 031B,19,34.29,4.23,2049,17.2,147,4,39080.0,229417.0
4381,E01004492,Wandsworth 031C,24,29.2,7.03,1269,27.6,60,3,41520.0,378000.0
4382,E01004493,Wandsworth 019A,16,23.42,6.68,1395,14.0,128,3,34530.0,327742.0
4383,E01004494,Wandsworth 018A,21,19.79,7.39,1282,12.1,136,4,31320.0,311983.0
4384,E01004495,Wandsworth 024A,22,26.56,6.88,1086,11.8,127,8,31950.0,302317.0
4385,E01004496,Wandsworth 024B,24,29.72,4.84,1681,17.7,111,1,34380.0,342167.0
4386,E01004497,Wandsworth 024C,18,38.22,11.43,953,16.7,85,3,33190.0,471500.0
4387,E01004498,Wandsworth 031D,14,32.51,6.27,1275,11.3,144,1,34720.0,394417.0
4388,E01004499,Wandsworth 020A,19,14.4,8.12,1188,14.0,109,3,33150.0,421750.0
4389,E01004500,Wandsworth 014A,32,24.16,14.33,1407,15.8,115,2,33010.0,384833.0
4390,E01004501,Wandsworth 014B,16,26.73,10.49,1191,16.5,97,5,33120.0,388250.0
4391,E01004502,Wandsworth 020B,8,14.02,8.93,1140,14.2,113,0,28640.0,516500.0
4392,E01004503,Wandsworth 014C,22,22.2,10.5,1270,19.8,85,3,29010.0,354908.0
4393,E01004504,Wandsworth 020C,13,19.32,11.68,977,22.4,66,1,30710.0,416350.0
4394,E01004505,Wandsworth 014D,32,24.48,16.85,1192,19.9,81,2,30650.0,350800.0
4395,E01004506,Wandsworth 011A,38,20.81,10.75,1478,20.2,95,1,33970.0,430658.0
4396,E01004507,Wandsworth 014E,15,17.44,11.0,1413,18.1,98,2,34340.0,374333.0
4397,E01004508,Wandsworth 012A,31,17.48,6.59,1749,13.8,152,2,30010.0,404167.0
4398,E01004509,Wandsworth 010A,35,14.29,5.58,1894,38.6,57,2,30800.0,350825.0
4399,E01004510,Wandsworth 012B,32,18.16,5.71,1671,16.6,121,1,34120.0,385000.0
4400,E01004511,Wandsworth 010B,23,13.4,5.82,1332,16.2,103,1,38010.0,469333.0
4401,E01004512,Wandsworth 019B,13,16.88,7.7,1071,11.5,130,3,33870.0,729417.0
4402,E01004513,Wandsworth 018B,16,15.49,9.1,1479,15.3,128,5,36090.0,286317.0
4403,E01004514,Wandsworth 012C,19,15.6,7.46,1362,16.4,103,2,36970.0,667708.0
4404,E01004515,Wandsworth 012D,16,19.15,5.32,1437,10.5,165,3,37810.0,363583.0
4405,E01004516,Wandsworth 036A,26,24.33,8.5,1187,21.4,83,4,36010.0,468833.0
4406,E01004517,Wandsworth 037A,34,20.4,6.25,1598,15.2,143,5,34570.0,246650.0
4407,E01004518,Wandsworth 036B,19,22.7,9.79,1224,12.6,142,3,32880.0,321417.0
4408,E01004519,Wandsworth 036C,14,23.93,10.64,1228,13.6,133,6,38220.0,297333.0
4409,E01004520,Wandsworth 036D,12,23.13,11.36,922,11.4,125,6,43650.0,296167.0
4410,E01004521,Wandsworth 037B,5,24.08,7.33,1448,12.2,171,7,41250.0,249833.0
4411,E01004522,Wandsworth 037C,15,24.38,8.01,1165,11.7,144,8,40760.0,242083.0
4412,E01004523,Wandsworth 036E,22,23.08,14.72,1135,30.1,56,3,36490.0,295833.0
4413,E01004524,Wandsworth 037D,15,18.47,12.85,1122,13.2,128,8,35650.0,169167.0
4414,E01004525,Wandsworth 035A,34,30.56,6.43,1451,13.9,135,6,37740.0,287833.0
4415,E01004526,Wandsworth 035B,19,30.4,9.0,1275,10.4,162,3,38030.0,260500.0
4416,E01004527,Wandsworth 035C,5,29.21,11.13,1139,10.0,162,5,40610.0,346500.0
4417,E01004528,Wandsworth 035D,21,25.86,8.6,1089,14.2,110,8,40340.0,230333.0
4418,E01004529,Wandsworth 035E,18,25.8,7.81,1622,12.2,178,5,38690.0,272667.0
4419,E01004530,Wandsworth 035F,21,29.46,9.34,1432,13.6,141,3,38520.0,275167.0
4420,E01004531,Wandsworth 033A,9,31.41,10.75,1138,8.7,197,7,37590.0,304667.0
4421,E01004532,Wandsworth 032A,14,28.74,8.5,1112,9.0,165,5,35040.0,319167.0
4422,E01004533,Wandsworth 033B,16,29.75,8.71,953,8.8,156,9,31780.0,293250.0
4423,E01004534,Wandsworth 008A,26,10.21,8.08,1459,25.7,72,2,37520.0,568292.0
4424,E01004535,Wandsworth 007A,4,15.43,6.3,1141,7.7,227,15,35240.0,161867.0
4425,E01004536,Wandsworth 008B,8,10.56,5.43,1764,15.1,144,6,37220.0,246000.0
4426,E01004537,Wandsworth 007B,7,15.72,10.15,1347,11.8,161,9,36220.0,223750.0
4427,E01004538,Wandsworth 007C,17,20.09,9.48,1421,11.4,174,8,37040.0,298917.0
4428,E01004539,Wandsworth 003A,5,14.2,7.29,1380,13.6,151,13,37320.0,266017.0
4429,E01004540,Wandsworth 003B,30,11.44,9.03,1555,13.9,152,5,37700.0,339250.0
4430,E01004541,Wandsworth 007D,5,13.88,15.65,1098,9.5,172,7,33830.0,229667.0
4431,E01004542,Wandsworth 021D,9,35.39,8.46,1078,13.2,119,2,37310.0,607083.0
4432,E01004543,Wandsworth 027A,28,34.91,6.6,1201,21.0,81,2,34890.0,682917.0
4433,E01004544,Wandsworth 021E,15,28.97,8.1,1031,10.3,143,2,35430.0,648500.0
4434,E01004545,Wandsworth 027B,17,30.52,8.47,1333,14.7,107,1,40140.0,261500.0
4435,E01004546,Wandsworth 027C,18,33.8,7.5,1089,9.2,156,1,37900.0,427213.0
4436,E01004547,Wandsworth 029C,12,35.82,13.75,927,11.5,117,2,41210.0,535176.0
4437,E01004548,Wandsworth 029D,26,34.39,7.8,1598,16.6,119,2,39570.0,250750.0
4438,E01004549,Wandsworth 027D,23,38.07,11.29,1117,12.4,127,1,40320.0,388667.0
4439,E01004550,Wandsworth 017D,12,28.65,17.51,914,14.4,104,8,33070.0,706667.0
4440,E01004551,Wandsworth 012E,27,12.23,4.84,1576,21.3,87,3,39570.0,362500.0
4441,E01004552,Wandsworth 008C,28,11.49,3.91,1864,10.7,197,1,32850.0,420250.0
4442,E01004553,Wandsworth 015A,24,16.27,6.0,1372,20.0,86,2,33940.0,481000.0
4443,E01004554,Wandsworth 009A,16,15.91,6.99,1212,40.8,41,1,39550.0,559650.0
4444,E01004555,Wandsworth 017E,12,17.69,7.65,1147,14.0,124,2,42630.0,935000.0
4445,E01004556,Wandsworth 009B,11,16.06,6.1,1123,10.0,168,0,38190.0,866333.0
4446,E01004557,Wandsworth 015B,18,18.76,8.97,1114,10.8,147,1,33280.0,549533.0
4447,E01004558,Wandsworth 015C,15,20.98,5.88,1243,22.6,78,1,32000.0,745000.0
4448,E01004559,Wandsworth 015D,11,25.22,6.51,945,17.7,81,2,35950.0,847500.0
4449,E01004560,Wandsworth 001A,30,17.05,8.02,1606,69.0,30,3,34410.0,453000.0
4450,E01004562,Wandsworth 002B,12,24.04,13.04,1322,65.7,28,6,33270.0,317500.0
4451,E01004563,Wandsworth 002C,14,18.3,6.09,1569,15.5,133,9,33140.0,239000.0
4452,E01004564,Wandsworth 002D,21,20.64,8.62,1448,38.2,46,3,36860.0,354000.0
4453,E01004565,Wandsworth 005A,13,17.59,7.4,1363,8.7,193,5,35480.0,367750.0
4454,E01004566,Wandsworth 001B,17,20.63,12.26,1250,9.5,173,1,35930.0,445458.0
4455,E01004567,Wandsworth 002E,14,23.23,5.15,1743,12.1,198,12,30070.0,218742.0
4456,E01004568,Wandsworth 013A,20,32.88,4.69,1445,23.1,79,13,29470.0,269667.0
4457,E01004569,Wandsworth 023A,37,34.66,9.5,1849,28.8,87,7,32270.0,378177.0
4458,E01004570,Wandsworth 023B,22,33.38,9.97,1420,11.8,170,8,34200.0,143333.0
4459,E01004571,Wandsworth 023C,21,34.31,11.34,1212,12.3,141,8,31220.0,229167.0
4460,E01004572,Wandsworth 016A,21,35.75,12.82,1139,78.6,21,6,31930.0,393333.0
4461,E01004573,Wandsworth 023D,23,44.75,12.05,1160,168.2,10,4,31390.0,233325.0
4462,E01004574,Wandsworth 013B,26,37.28,6.24,1176,21.0,86,17,34000.0,163250.0
4463,E01004575,Wandsworth 013C,8,38.19,20.56,1149,54.1,32,8,34660.0,225000.0
4464,E01004576,Wandsworth 013D,21,44.75,9.5,1117,44.6,37,8,28750.0,283500.0
4465,E01004577,Wandsworth 003C,12,11.21,12.37,1518,11.6,177,3,36720.0,555667.0
4466,E01004579,Wandsworth 004B,20,10.92,10.73,1195,11.7,141,4,35510.0,715333.0
4467,E01004580,Wandsworth 004C,27,12.12,9.31,1565,10.9,190,4,31890.0,308333.0
4468,E01004581,Wandsworth 004D,23,14.05,12.43,1400,11.4,159,3,36340.0,316333.0
4469,E01004582,Wandsworth 001C,20,14.75,10.61,1630,13.4,164,3,39260.0,656667.0
4470,E01004583,Wandsworth 001D,29,15.05,20.81,1294,15.1,125,3,32550.0,513333.0
4471,E01004584,Wandsworth 003D,7,11.48,7.67,1172,5.2,339,11,35430.0,201167.0
4472,E01004585,Wandsworth 008D,13,7.48,8.08,1600,12.9,151,2,35930.0,472027.0
4473,E01004586,Wandsworth 009C,7,8.29,5.13,1663,8.7,221,2,36510.0,485417.0
4474,E01004587,Wandsworth 009D,15,14.4,6.7,1429,10.8,169,1,34880.0,574167.0
4475,E01004588,Wandsworth 008E,14,7.03,4.26,1621,16.7,118,2,35240.0,478750.0
4476,E01004589,Wandsworth 009E,11,10.61,6.0,1416,9.3,191,0,35630.0,532158.0
4477,E01004590,Wandsworth 005B,18,13.69,12.05,1293,14.3,125,6,29990.0,472242.0
4478,E01004591,Wandsworth 005C,33,11.96,7.29,1527,12.4,148,3,33170.0,407167.0
4479,E01004592,Wandsworth 005D,10,10.56,12.64,1256,9.6,175,6,33480.0,499167.0
4480,E01004593,Wandsworth 025A,29,20.17,9.4,1265,21.5,79,2,30520.0,395167.0
4481,E01004594,Wandsworth 020D,6,23.18,9.65,1040,14.4,109,2,31470.0,586000.0
4482,E01004595,Wandsworth 025B,20,23.02,8.85,1241,22.5,74,2,33010.0,361250.0
4483,E01004596,Wandsworth 020E,15,26.34,9.63,1049,11.8,130,1,33270.0,610175.0
4484,E01004597,Wandsworth 025C,17,26.63,9.52,1204,14.0,126,4,32990.0,540767.0
4485,E01004598,Wandsworth 025D,24,27.38,4.96,1381,14.3,119,1,29410.0,374500.0
4486,E01004599,Wandsworth 025E,18,28.46,9.73,977,11.1,137,1,32030.0,665641.0
4487,E01004600,Wandsworth 018C,44,11.53,5.07,1485,12.3,165,11,33250.0,271367.0
4488,E01004601,Wandsworth 018D,18,16.16,9.07,1627,30.4,74,4,33630.0,319167.0
4489,E01004602,Wandsworth 010C,27,16.6,8.81,1259,13.8,120,1,31160.0,496150.0
4490,E01004604,Wandsworth 006A,20,31.38,10.89,1056,37.5,44,1,31690.0,978981.0
4491,E01004605,Wandsworth 006B,27,28.84,13.33,1205,19.5,90,3,38430.0,662500.0
4492,E01004606,Wandsworth 006C,22,26.54,7.59,1306,10.6,157,1,36380.0,496333.0
4493,E01004607,Wandsworth 006D,23,25.21,11.6,1129,16.8,98,1,38650.0,730081.0
4494,E01004608,Wandsworth 006E,18,23.94,10.85,1264,9.6,172,2,37670.0,510600.0
4495,E01004609,Wandsworth 010E,55,21.9,8.47,1702,20.6,103,1,37380.0,455667.0
4496,E01004610,Wandsworth 033C,27,34.38,10.7,1394,28.6,68,4,39710.0,367667.0
4497,E01004611,Wandsworth 032B,31,31.59,12.34,1067,12.3,126,6,40440.0,448333.0
4498,E01004612,Wandsworth 032C,38,35.19,9.28,1201,12.0,144,5,34540.0,341167.0
4499,E01004613,Wandsworth 033D,22,33.65,12.43,1066,10.1,157,8,31590.0,294834.0
4500,E01004614,Wandsworth 034A,10,29.45,7.83,1536,14.2,142,6,34640.0,260317.0
4501,E01004615,Wandsworth 034B,13,29.33,9.6,1193,17.8,101,11,34470.0,274333.0
4502,E01004616,Wandsworth 034C,11,31.01,6.31,1666,10.6,201,5,36570.0,253158.0
4503,E01004617,Wandsworth 034D,27,26.13,6.64,1320,43.1,39,5,34490.0,272500.0
4504,E01004618,Wandsworth 032D,14,37.34,10.66,1094,11.7,131,2,30170.0,481533.0
4505,E01004619,Wandsworth 015E,18,26.81,6.51,938,52.3,26,2,36700.0,558667.0
4506,E01004620,Wandsworth 019C,16,19.46,7.84,1225,10.7,158,2,36400.0,403583.0
4507,E01004621,Wandsworth 019D,28,21.47,7.49,1215,43.8,38,2,33610.0,362833.0
4508,E01004622,Wandsworth 024D,18,24.96,6.5,1607,20.2,94,4,34730.0,277167.0
4509,E01004623,Wandsworth 019E,21,23.51,8.5,1204,14.9,115,2,33460.0,554750.0
4510,E01004624,Wandsworth 024E,40,30.59,8.69,1152,40.2,39,3,33440.0,342917.0
4511,E01004625,Wandsworth 027E,7,32.68,13.45,854,24.9,56,1,30960.0,1165425.0
4512,E01004626,Wandsworth 027F,38,43.04,9.01,1347,57.8,32,2,35720.0,482417.0
4513,E01004627,Wandsworth 019F,13,18.27,8.85,1195,11.1,153,3,34330.0,615833.0
4514,E01004628,Wandsworth 022A,17,27.64,7.23,1741,22.8,100,4,30280.0,335000.0
4515,E01004629,Wandsworth 020F,23,28.56,14.43,992,24.4,63,3,34740.0,545833.0
4516,E01004630,Wandsworth 022B,9,29.57,10.02,1110,11.4,149,11,35120.0,215667.0
4517,E01004631,Wandsworth 022C,14,29.38,12.14,1028,16.2,93,6,35420.0,232167.0
4518,E01004632,Wandsworth 028A,10,29.74,10.85,989,27.7,52,3,37660.0,280417.0
4519,E01004633,Wandsworth 022D,3,29.08,7.5,1064,8.3,189,10,30350.0,212250.0
4520,E01004634,Wandsworth 028B,7,32.17,10.95,1098,12.3,118,4,38660.0,271583.0
4521,E01004635,Wandsworth 028C,8,30.93,9.34,1092,16.4,95,4,41640.0,280000.0
4522,E01004636,Wandsworth 028D,7,35.59,8.24,1089,15.3,98,5,32980.0,322500.0
4523,E01004637,Wandsworth 028E,12,33.4,13.02,977,14.2,99,5,40050.0,300583.0
4524,E01004638,Wandsworth 011B,34,32.42,13.69,923,27.4,52,2,30100.0,924167.0
4525,E01004639,Wandsworth 011C,31,36.77,12.16,1234,22.6,75,1,32870.0,322667.0
4526,E01004640,Wandsworth 011D,13,30.39,10.35,1247,16.6,104,2,32280.0,357833.0
4527,E01004641,Wandsworth 011E,17,33.2,16.59,1238,20.8,88,3,27720.0,423833.0
4528,E01004642,Wandsworth 016B,5,39.47,11.54,1307,22.0,86,5,50780.0,371333.0
4529,E01004643,Wandsworth 016C,14,27.05,11.9,1444,20.2,101,6,48220.0,307167.0
4530,E01004644,Wandsworth 016D,29,38.14,14.79,1412,39.3,52,5,46180.0,483417.0
4531,E01004645,Wandsworth 016E,16,32.94,15.41,1356,15.9,133,10,47540.0,213917.0
4532,E01004646,Westminster 002A,27,27.58,12.09,1051,21.5,79,6,46670.0,1741667.0
4533,E01004647,Westminster 001A,19,25.72,19.59,972,19.5,77,3,59680.0,930000.0
4534,E01004648,Westminster 002B,31,26.56,12.1,1698,21.4,114,5,59940.0,490808.0
4535,E01004649,Westminster 001B,8,25.05,16.84,1172,19.5,89,4,56250.0,986667.0
4536,E01004650,Westminster 002C,18,25.06,12.11,1402,17.6,115,3,50260.0,820833.0
4537,E01004651,Westminster 003A,7,22.36,14.17,1489,10.0,204,2,43890.0,435500.0
4538,E01004652,Westminster 017A,26,17.65,9.16,1429,4.7,381,3,43150.0,470750.0
4539,E01004653,Westminster 014A,49,13.16,12.19,1289,9.1,197,2,45240.0,920833.0
4540,E01004654,Westminster 014B,63,15.33,9.71,1787,11.8,194,2,45730.0,657833.0
4541,E01004656,Westminster 014D,27,17.23,10.85,1608,15.1,139,3,43890.0,526667.0
4542,E01004657,Westminster 012A,33,10.44,11.33,1124,12.4,117,1,45100.0,1020000.0
4543,E01004658,Westminster 012B,49,11.65,8.1,1209,10.2,147,4,43400.0,464333.0
4544,E01004659,Westminster 008A,48,15.75,10.31,1515,11.4,163,2,45740.0,513908.0
4545,E01004660,Westminster 008B,25,16.89,12.42,1365,6.8,274,3,46030.0,907917.0
4546,E01004661,Westminster 012C,63,12.32,9.34,1481,13.3,142,4,47170.0,779983.0
4547,E01004662,Westminster 012D,35,15.15,8.55,1509,9.0,209,1,38760.0,766658.0
4548,E01004663,Westminster 012E,62,12.95,17.15,1126,9.3,176,3,42390.0,903333.0
4549,E01004665,Westminster 024A,12,17.73,13.27,932,4.8,318,14,44400.0,340000.0
4550,E01004666,Westminster 023B,13,9.85,18.74,711,8.6,126,4,39700.0,720833.0
4551,E01004667,Westminster 023C,10,12.2,15.28,1001,13.1,107,4,36960.0,414342.0
4552,E01004668,Westminster 023D,7,16.08,15.03,948,5.5,266,7,42610.0,488167.0
4553,E01004669,Westminster 024B,8,19.14,14.6,1115,7.2,235,9,41800.0,335833.0
4554,E01004670,Westminster 009A,7,17.46,13.19,1582,8.3,326,17,45660.0,264750.0
4555,E01004674,Westminster 005A,12,13.99,12.51,1382,8.8,241,10,48520.0,338167.0
4556,E01004675,Westminster 005B,18,13.81,9.71,1642,9.0,254,10,44660.0,332083.0
4557,E01004676,Westminster 006A,13,14.91,6.09,1283,8.2,206,8,43710.0,437500.0
4558,E01004677,Westminster 005C,16,15.03,8.49,1433,7.1,260,7,50230.0,392417.0
4559,E01004678,Westminster 005D,18,15.57,7.25,1461,8.7,235,7,44780.0,338583.0
4560,E01004679,Westminster 005E,12,13.66,7.03,1615,7.7,296,10,49010.0,254667.0
4561,E01004680,Westminster 015A,24,13.21,16.17,994,11.4,128,3,45660.0,861417.0
4562,E01004681,Westminster 016A,42,14.6,6.68,1772,17.6,122,3,48940.0,593450.0
4563,E01004682,Westminster 016B,44,15.32,8.06,1326,9.3,169,2,46150.0,690833.0
4564,E01004683,Westminster 015B,27,15.79,13.69,1212,13.0,129,2,46170.0,905833.0
4565,E01004684,Westminster 015C,16,11.76,11.68,1162,8.0,200,7,46900.0,616667.0
4566,E01004686,Westminster 015E,23,13.45,8.43,1168,6.3,240,6,46170.0,400833.0
4567,E01004687,Westminster 019A,12,12.54,15.8,1152,18.5,88,2,50720.0,2675000.0
4568,E01004688,Westminster 019B,25,22.92,8.75,1690,74.8,26,1,50650.0,1329167.0
4569,E01004689,Westminster 019C,26,19.81,9.0,990,192.4,7,4,38490.0,2728917.0
4570,E01004690,Westminster 019D,13,14.61,13.12,1059,23.6,63,4,49770.0,2256667.0
4571,E01004691,Westminster 019E,21,19.39,16.73,1180,34.9,46,2,44470.0,1865367.0
4572,E01004692,Westminster 019F,5,24.0,18.07,1057,15.1,100,4,42620.0,1849333.0
4573,E01004693,Westminster 017B,27,13.73,12.84,1007,8.2,169,1,36670.0,1034167.0
4574,E01004694,Westminster 016C,57,17.94,7.15,1488,10.2,180,2,40860.0,982500.0
4575,E01004695,Westminster 017C,50,17.09,8.4,1011,5.6,218,2,37550.0,627083.0
